,model,RMSE_train,RMSE_test,AIC
2143,"(3, 0, 6),(3, 1, 7, 12)",26.82,79.59,2630.2936656962834
3680,"(5, 0, 4),(3, 1, 5, 12)",26.99,79.6,2625.3793143465336
3063,"(4, 1, 1),(3, 1, 5, 12)",28.46,79.6,2623.8903470972455
3947,"(5, 1, 1),(4, 1, 4, 12)",28.64,79.61,2628.5306135444284
1403,"(2, 1, 2),(4, 1, 4, 12)",28.36,79.62,2622.2159568446195
1694,"(2, 1, 7),(3, 1, 6, 12)",28.25,79.63,2632.0690205898995
489,"(1, 1, 1),(4, 1, 4, 12)",28.39,79.64,2621.3808438572382
3241,"(4, 1, 4),(3, 1, 4, 12)",28.35,79.67,2627.5823120267924
3504,"(5, 0, 1),(4, 1, 4, 12)",27.28,79.68,2622.6860418287633
1523,"(2, 1, 4),(5, 1, 7, 12)",27.84,79.68,2629.920766834864
314,"(1, 0, 5),(5, 1, 6, 12)",26.97,79.69,2629.8542166775096
2074,"(3, 0, 6),(3, 1, 4, 12)",27.89,79.7,2644.2507495246027
2007,"(3, 0, 5),(3, 1, 4, 12)",27.24,79.7,2635.532064205291
2140,"(3, 0, 6),(3, 1, 4, 12)",27.89,79.7,2644.2507495246027
123,"(1, 0, 2),(5, 1, 6, 12)",27.48,79.71,2630.504492388117
478,"(1, 1, 1),(3, 1, 5, 12)",28.62,79.72,2621.53683455519
1342,"(2, 1, 1),(4, 1, 4, 12)",28.28,79.72,2619.077821040888
2391,"(3, 1, 4),(3, 1, 7, 12)",27.49,79.73,2622.2343419165545
2836,"(4, 0, 4),(5, 1, 7, 12)",26.83,79.73,2628.067852540736
3125,"(4, 1, 2),(3, 1, 6, 12)",28.19,79.74,2628.0267441350506
1464,"(2, 1, 3),(5, 1, 7, 12)",28.15,79.74,2628.5261495985533
3964,"(5, 1, 1),(5, 1, 7, 12)",28.32,79.75,2631.753652777932
2264,"(3, 1, 2),(3, 1, 4, 12)",28.42,79.75,2622.0948088861137
2783,"(4, 0, 3),(5, 1, 6, 12)",26.72,79.75,2625.736052707282
893,"(2, 0, 1),(3, 1, 5, 12)",27.3,79.75,2620.2252823857943
1074,"(2, 0, 4),(3, 1, 6, 12)",27.16,79.76,2625.9703397429685
4135,"(5, 1, 4),(4, 1, 5, 12)",28.32,79.77,2630.5095143612416
1627,"(2, 1, 6),(3, 1, 4, 12)",28.54,79.77,2628.8060674909184
3317,"(4, 1, 5),(4, 1, 5, 12)",28.47,79.79,2648.2214015529908
718,"(1, 1, 5),(3, 1, 6, 12)",28.21,79.8,2629.587202021191
3777,"(5, 0, 5),(5, 1, 6, 12)",27.05,79.83,2638.7250380317873
